 F2 ,1.35E+00,2.09E-01,9.37E-01,9.98E-03,4.70E-02,1.12E+02
 F2HT ,1.35E+00,2.09E-01,9.37E-01,9.98E-03,4.70E-02,1.12E+02
 F5 ,1.31E+00,1.96E-01,9.66E-01,9.59E-03,4.58E-02,1.15E+02
 FK5HTi ,9.09E-01,2.79E-01,8.92E-01,5.20E-03,1.59E-02,9.59E+01
 K10 ,1.16E+00,6.43E-02,8.72E-01,8.09E-03,3.86E-02,1.05E+02
 K7 ,1.13E+00,1.24E-01,8.27E-01,7.20E-03,2.70E-02,1.00E+02
 LAFN7 ,1.67E+00,2.99E-01,1.08E+00,1.03E-02,4.69E-02,8.25E+01
 LASF35 ,2.46E+00,4.53E-01,2.39E+00,1.36E-02,5.46E-02,1.68E+02
 LF5 ,1.28E+00,1.64E-01,8.94E-01,9.30E-03,4.49E-02,1.10E+02
 LF5HTi ,1.29E+00,1.58E-01,8.92E-01,9.40E-03,4.53E-02,1.11E+02
 LLF1 ,1.22E+00,1.34E-01,8.83E-01,8.58E-03,4.20E-02,1.08E+02
 LLF1HTi ,1.23E+00,1.25E-01,8.92E-01,8.70E-03,4.27E-02,1.08E+02
 N-BAF10 ,1.59E+00,1.44E-01,1.09E+00,9.27E-03,4.24E-02,1.06E+02
 N-BAF4 ,1.42E+00,1.03E-01,1.14E+00,9.42E-03,5.31E-02,1.10E+02
 N-BAF51 ,1.52E+00,1.54E-01,1.15E+00,9.43E-03,4.31E-02,1.25E+02
 N-BAF52 ,1.44E+00,9.67E-02,1.10E+00,9.08E-03,5.08E-02,1.06E+02
 N-BAK1 ,1.12E+00,3.09E-01,8.82E-01,6.45E-03,2.22E-02,1.07E+02
 N-BAK2 ,1.02E+00,3.20E-01,9.37E-01,5.92E-03,2.04E-02,1.13E+02
 N-BAK4 ,1.29E+00,1.33E-01,9.45E-01,7.80E-03,3.16E-02,1.06E+02
 N-BAK4HT ,1.29E+00,1.33E-01,9.45E-01,7.80E-03,3.16E-02,1.06E+02
 N-BALF4 ,1.31E+00,1.42E-01,9.65E-01,7.97E-03,3.31E-02,1.09E+02
 N-BALF5 ,1.28E+00,7.19E-02,1.05E+00,8.26E-03,4.42E-02,1.07E+02
 N-BASF2 ,1.54E+00,1.57E-01,1.30E+00,1.08E-02,5.62E-02,1.31E+02
 N-BASF64 ,1.66E+00,1.71E-01,1.34E+00,1.04E-02,4.99E-02,1.19E+02
 N-BK10 ,8.88E-01,3.29E-01,9.85E-01,5.17E-03,1.61E-02,9.98E+01
 N-BK7 ,1.04E+00,2.32E-01,1.01E+00,6.00E-03,2.00E-02,1.04E+02
 N-BK7HT ,1.04E+00,2.32E-01,1.01E+00,6.00E-03,2.00E-02,1.04E+02
 N-BK7HTi ,1.04E+00,2.32E-01,1.01E+00,6.00E-03,2.00E-02,1.04E+02
 N-F2 ,1.40E+00,1.59E-01,1.27E+00,9.96E-03,5.47E-02,1.19E+02
 N-FK5 ,8.44E-01,3.44E-01,9.11E-01,4.75E-03,1.50E-02,9.79E+01
 N-FK51A ,9.71E-01,2.17E-01,9.05E-01,4.72E-03,1.54E-02,1.69E+02
 N-FK58 ,7.38E-01,3.63E-01,9.89E-01,3.39E-03,1.18E-02,2.13E+02
 N-K5 ,1.09E+00,2.00E-01,9.31E-01,6.61E-03,2.41E-02,1.12E+02
 N-KF9 ,1.19E+00,8.93E-02,9.21E-01,8.39E-03,4.04E-02,1.13E+02
 N-KZFS11 ,1.33E+00,2.89E-01,1.15E+00,8.40E-03,3.44E-02,8.84E+01
 N-KZFS2 ,1.24E+00,1.54E-01,9.04E-01,7.47E-03,3.08E-02,7.02E+01
 N-KZFS4 ,1.35E+00,1.98E-01,1.10E+00,8.76E-03,3.72E-02,9.04E+01
 N-KZFS4HT ,1.35E+00,1.98E-01,1.10E+00,8.76E-03,3.72E-02,9.04E+01
 N-KZFS5 ,1.47E+00,1.94E-01,1.27E+00,9.86E-03,4.45E-02,1.06E+02
 N-KZFS8 ,1.63E+00,2.44E-01,1.62E+00,1.09E-02,4.94E-02,1.31E+02
 N-LAF2 ,1.81E+00,1.57E-01,1.09E+00,1.02E-02,4.42E-02,1.01E+02
 N-LAF21 ,1.87E+00,2.51E-01,1.22E+00,9.33E-03,3.46E-02,8.32E+01
 N-LAF33 ,1.80E+00,3.12E-01,1.16E+00,9.27E-03,3.58E-02,8.73E+01
 N-LAF34 ,1.76E+00,3.14E-01,1.19E+00,8.73E-03,2.93E-02,8.52E+01
 N-LAF35 ,1.52E+00,4.56E-01,1.07E+00,7.51E-03,2.60E-02,8.06E+01
 N-LAF7 ,1.74E+00,2.27E-01,1.33E+00,1.08E-02,5.39E-02,1.06E+02
 N-LAK10 ,1.73E+00,1.69E-01,1.19E+00,8.86E-03,3.63E-02,8.29E+01
